FireGirlTrials_PolicyComparisons_1 Outputs


PATHWAYS GENERATED UNDER a LET-BURN POLICY
supp_ave,supp_min,supp_max,supp_std,supp_95_low,supp_95_high,harv_ave,harv_min,harv_max,harv_std,harv_95_low,harv_95_high,grwth_ave,grwth_min,grwth_max,grwth_std,grwth_95_low,grwth_95_high,cells_burned_ave,cells_burned_min,cells_burned_max,cells_burned_std,cells_burned_95_low,cells_burned_95_high,timb_lost_ave,timb_lost_min,timb_lost_max,timb_lost_std,timb_lost_95_low,timb_lost_95_high,supp_decicions
0.0,0.0,0.0,0.0,0.0,0.0,4791.373,2055.622,6854.134,1085.012,6970.684,2612.062,5007.908,2133.6,7190.82,1144.434,7306.572,2709.244,46.52,1.0,1118.0,166.922,14926.022,-288.752,2048.857,0.0,1118.0,6411.145,14926.022,-10828.307,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4809.044,2938.363,6580.101,1028.068,6873.979,2744.109,5026.59,3027.119,6892.012,1092.0,7219.937,2833.243,19.34,1.0,286.0,46.318,4308.879,-73.692,754.41,0.0,286.0,1769.661,4308.879,-2800.06,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4844.547,3220.779,6500.632,913.463,6679.29,3009.803,5057.698,3362.478,6803.511,964.646,6995.246,3120.15,34.5,1.0,447.0,86.608,13742.19,-139.458,2050.474,0.0,447.0,5820.947,13742.19,-9641.242,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4888.04,3076.169,7698.041,1013.413,6923.54,2852.541,5102.902,3204.691,8069.971,1070.84,7253.748,2952.056,40.52,1.0,368.0,91.464,11905.731,-143.191,1891.253,0.0,368.0,4985.902,11905.731,-8123.226,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4972.058,2959.364,7331.681,1045.133,7071.268,2872.847,5199.057,3043.071,7683.348,1098.839,7406.141,2991.974,46.56,1.0,639.0,122.427,9399.793,-199.343,1538.517,0.0,639.0,3913.889,9399.793,-6322.759,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4942.702,2941.999,7361.739,971.275,6893.565,2991.84,5169.481,3052.98,7732.739,1024.697,7227.646,3111.316,81.44,1.0,2367.0,342.354,58779.681,-606.197,4601.457,0.0,2367.0,26973.677,58779.681,-49576.768,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4947.829,2828.857,7378.324,1005.814,6968.065,2927.593,5174.335,2908.821,7746.142,1064.596,7312.639,3036.032,61.42,1.0,1582.0,238.362,41015.665,-417.344,4090.334,0.0,1582.0,18383.991,41015.665,-32834.998,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5047.66,2756.206,7233.955,1061.161,7179.066,2916.255,5273.743,2890.746,7565.033,1118.863,7521.046,3026.44,57.84,1.0,915.0,174.284,33490.678,-292.219,4335.201,0.0,915.0,14515.618,33490.678,-24820.277,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5113.203,2734.63,6969.748,1067.987,7258.318,2968.087,5345.982,2870.425,7308.407,1131.363,7618.392,3073.572,36.68,1.0,638.0,100.506,13795.176,-165.192,1917.482,0.0,638.0,5913.54,13795.176,-9960.213,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5101.705,2834.025,7200.929,1012.959,7136.293,3067.116,5330.147,2873.235,7490.772,1072.575,7484.478,3175.815,29.42,1.0,378.0,81.84,11564.51,-134.96,1603.152,0.0,378.0,4959.455,11564.51,-8358.206,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5121.71,2587.829,6880.143,964.38,7058.723,3184.696,5354.768,2717.391,7160.109,1013.256,7389.953,3319.584,44.96,1.0,1008.0,166.4,27517.345,-289.264,2803.282,0.0,1008.0,12304.374,27517.345,-21910.78,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5108.177,2585.054,6887.07,971.535,7059.562,3156.792,5335.619,2619.008,7162.826,1026.299,7397.001,3274.236,193.76,1.0,5000.0,805.677,161202.094,-1424.489,16482.487,0.0,5000.0,72051.455,161202.094,-128237.119,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5080.187,2534.862,6666.0,961.869,7012.159,3148.216,5314.492,2661.633,6978.864,1012.997,7349.157,3279.826,94.94,1.0,2162.0,383.736,72553.433,-675.817,7460.66,0.0,2162.0,32407.696,72553.433,-57632.112,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5188.983,2560.782,7270.415,1005.855,7209.303,3168.663,5427.445,2652.935,7598.075,1059.65,7555.814,3299.076,108.9,1.0,2964.0,424.631,79218.394,-743.997,7810.383,0.0,2964.0,35551.859,79218.394,-63597.628,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5174.795,3137.355,7071.313,932.988,7048.757,3300.832,5408.671,3281.616,7417.603,982.939,7382.962,3434.38,36.9,1.0,747.0,115.458,16615.366,-195.003,2012.532,0.0,747.0,7270.303,16615.366,-12590.301,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5297.504,3043.486,7180.074,936.273,7178.064,3416.945,5538.292,3199.632,7476.031,984.591,7515.901,3560.683,62.52,1.0,704.0,154.063,24044.784,-246.924,3476.652,0.0,704.0,10240.242,24044.784,-17091.481,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5306.715,3068.833,7340.056,886.943,7088.192,3525.239,5550.023,3220.068,7677.429,937.139,7432.321,3667.725,45.0,1.0,1421.0,201.046,38716.26,-358.814,3330.172,0.0,1421.0,17617.648,38716.26,-32055.915,0.0
